,My
0,0.1136440129837196
1,0.13816195719951524
2,0.1829802110816225
3,0.19799175520488954
4,0.22374305594307484
5,0.23588711868225748
6,0.2787621298290853
7,0.31768892845238456
8,0.3420321248513873
9,0.3396073275142148
10,0.3558152394057324
11,0.3908345289990203
12,0.4145254560733911
13,0.41035347282291373
14,0.43763053889691206
15,0.44550489082651323
16,0.4648722156743179
17,0.4788137206059131
18,0.48087798561677103
19,0.48694038285687663
20,0.49853276829519627
21,0.4983555083570172
22,0.5003303889384353
23,0.516640376553362
24,0.5246995917680173
25,0.5498380249195932
26,0.5397706245167302
27,0.5373094377982838
28,0.5515095329857136
29,0.5711720485397955
30,0.5695870665217989
31,0.5739837351405472
32,0.5728225610980172
33,0.5715862960080935
34,0.5651956139858326
35,0.5446030586263064
36,0.5604778511947943
37,0.5560368062566762
38,0.5554609079490634
39,0.5619836342648932
40,0.5364447602836835
41,0.5597778838484863
42,0.5535657366502607
43,0.5615515978085357
44,0.5421595337667439
45,0.5499583623891019
46,0.5362978261430073
47,0.5628332727673959
48,0.5533913537888054
49,0.5577260215072409
